'Changes'	'Edit Time'	'Tokenize Time'	'Parse Time'
0	4.056741	6.933123	1.608554
1	4.12949	13.597592	3.308328
2	4.199743	20.041256	4.975822
3	4.3710629999999995	26.529578	6.590044
4	4.424162999999999	33.04835	8.300944
5	4.734772999999999	39.759783	9.990931
6	4.823984999999999	47.351766	11.860119
7	4.992392999999999	54.208351	13.846022999999999
8	5.081342999999999	61.083643	15.520990999999999
9	5.177815999999998	67.606487	17.191751999999997
10	5.212655999999998	74.027699	18.865852999999998
11	5.348208999999998	80.617496	20.467667999999996
12	5.567994999999998	86.97819700000001	22.113289999999996
13	5.774254999999998	93.55821800000001	23.732157999999995
14	5.8524699999999985	99.854707	25.333621999999995
15	6.167551999999999	106.298669	26.967056999999993
16	6.3370039999999985	112.627612	28.589968999999993
17	6.493454999999998	118.991636	30.239320999999993
18	6.609651999999998	125.324006	31.859552999999995
19	6.817923999999998	135.420336	33.849
20	7.159983999999998	142.285802	35.499388999999994
21	7.204600999999998	148.825121	37.29833899999999
22	7.220872999999997	155.922045	39.01771399999999
23	7.525302999999997	162.71027899999999	40.65732799999999
24	7.610909999999998	169.357893	42.347902999999995
25	7.688773999999998	176.66079399999998	44.02822499999999
26	7.771735999999998	183.45819799999998	45.742726999999995
27	7.913948999999998	190.09404199999997	47.425419
28	7.972989999999998	196.87685599999998	49.122893999999995
29	8.271062999999998	203.11890999999997	50.80215499999999


0	7.43573	63.353566	37.124382
1	7.527487000000001	63.94645	37.243081999999994
2	7.575264000000001	64.202123	37.254290999999995
3	7.624983	64.489797	37.264188999999995
4	7.682894	64.888049	37.358399999999996
5	7.730425	65.17615599999999	37.639548999999995
6	7.77517	65.40415899999999	37.648734999999995
7	7.82115	65.66931699999999	37.657484999999994
8	7.867725	65.93666099999999	37.88042399999999
9	7.925647	66.30783599999998	38.13315699999999
10	7.9658619999999996	66.54097799999998	38.14107099999999
11	8.017889	66.73135699999997	38.14911799999999
12	8.071225	67.14244499999998	38.42499499999999
13	8.111305	67.40754699999998	38.61963099999999
14	8.157589	67.70704999999998	38.62714999999999
15	8.195406	67.93233299999999	38.76390299999999
16	8.227502	68.12975099999998	38.95309099999999
17	8.261496	68.34412299999998	39.04784299999999
18	8.296145999999998	68.54202799999999	39.055457999999994
19	8.346551999999999	68.81420999999999	39.06283799999999
20	8.391056999999998	69.15149	39.08265599999999
21	8.471057999999998	69.59690499999999	39.099258999999996
22	8.578945999999998	70.260308	39.261478
23	8.618097999999998	70.471781	39.270143999999995
24	8.657543999999998	70.693941	39.27853199999999
25	8.701846999999997	70.947856	39.47531599999999
26	8.774976999999998	71.409995	39.48674899999999
27	8.825771999999999	71.70518299999999	39.82426299999999
28	8.901791999999999	72.14249999999998	39.835849999999986
29	8.964425999999998	72.54390099999999	39.845430999999984
