'Changes'	'Edit Time'	'Compute Time'
0	4.806884	68.83865
1	4.988475	137.530029
2	5.183899	206.448518
3	5.5339920000000005	275.658402
4	5.877067	344.44891800000005
5	6.1063730000000005	412.93478500000003
6	6.399888000000001	482.973581
7	6.4488710000000005	557.21443
8	6.803857000000001	631.471129
9	6.845828000000001	701.262136
10	7.224550000000001	772.067074
11	7.337006000000001	843.168132
12	7.590743000000001	919.4133
13	7.834968000000001	990.074288
14	8.030941	1060.704547
15	8.076574	1132.313308
16	8.360123000000002	1203.172034
17	8.521458	1280.669486
18	8.777081	1349.238207
19	9.141364000000001	1417.804059
20	9.237871000000002	1486.235029
21	9.310046000000002	1554.540937
22	9.313752000000001	1623.23061
23	9.349686	1691.2891300000001
24	9.494401	1761.2131000000002
25	9.509083	1832.5241380000002
26	9.771197	1905.1759170000003
27	10.136529000000001	1976.9504110000003
28	10.474710000000002	2046.2754040000002
29	10.568744000000002	2114.4729530000004


0	268.143052	696.993686
1	268.226068	697.179148
2	268.269983	697.2866250000001
3	268.36185600000005	697.520932
4	268.44000000000005	697.709703
5	268.5509850000001	697.9930449999999
6	268.6325890000001	698.2258479999999
7	268.7089620000001	698.4192199999999
8	268.7792550000001	698.6065219999999
9	268.8440530000001	698.770821
10	268.9182320000001	698.962723
11	269.0171830000001	699.305442
12	269.1793170000001	699.6945109999999
13	269.33393200000006	700.12038
14	269.44277600000004	700.42694
15	269.55278500000003	700.718076
16	269.696747	701.14246
17	269.85172600000004	701.5807570000001
18	269.97925200000003	701.942795
19	270.11707900000005	702.3038760000001
20	270.197487	702.5159150000001
21	270.30401	702.8109450000001
22	270.381507	703.0298290000001
23	270.470567	703.287811
24	270.549556	703.500589
25	270.625484	703.710212
26	270.72147399999994	703.97924
27	270.80252799999994	704.195732
28	270.92353699999995	704.534272
29	271.049023	704.8881269999999


0	32.830508	131.132048
1	32.896971	131.278784
2	32.93077	131.371902
3	32.973075	131.484676
4	33.057572	131.721057
5	33.121581	131.905305
6	33.188822	132.095465
7	33.257867000000005	132.274553
8	33.301623000000006	132.410047
9	33.372657000000004	132.57285099999999
10	33.426216000000004	132.72667099999998
11	33.5045	132.95128499999998
12	33.54709	133.06837
13	33.600635999999994	133.22692199999997
14	33.688495999999994	133.46412999999998
15	33.75671199999999	133.64960299999998
16	33.83320499999999	133.86305099999998
17	33.90144899999999	134.057608
18	33.95328899999999	134.209108
19	34.010178999999994	134.371391
20	34.080037	134.735196
21	34.190095	134.946576
22	34.276151999999996	135.135131
23	34.34212899999999	135.317618
24	34.39521599999999	135.46416100000002
25	34.444571999999994	135.599081
26	34.52424899999999	135.82029
27	34.59101499999999	136.012222
28	34.632355999999994	136.128265
29	34.679511999999995	136.258023


0	8.461445	86.185862
1	8.550118	86.541589
2	8.582500999999999	86.729542
3	8.629703999999998	86.940238
4	8.669240999999998	87.12013499999999
5	8.714569999999998	87.33048099999999
6	8.750427999999998	87.503695
7	8.787263999999997	87.68665999999999
8	8.819198999999998	87.867927
9	8.868477999999998	88.090308
10	8.910666999999998	88.305527
11	8.956352999999998	88.534475
12	8.982458999999999	88.687003
13	9.025635	88.896618
14	9.063555	89.11089700000001
15	9.102618999999999	89.30443600000001
16	9.142266	89.54286200000001
17	9.185887	89.75072100000001
18	9.224297	89.94403400000002
19	9.249721	90.09014400000001
20	9.300379999999999	90.37107
21	9.321393999999998	90.512905
22	9.372194999999998	90.759538
23	9.412074999999998	90.975378
24	9.436297999999997	91.117694
25	9.493987999999996	91.372648
26	9.522818999999997	91.538637
27	9.550227999999997	91.69325599999999
28	9.579463999999996	91.86310499999999
29	9.618471999999997	92.06108199999998


0	8.996457	71.383678
1	9.07528	72.419167
2	9.126180999999999	73.348313
3	9.156379999999999	74.24153600000001
4	9.186575999999999	75.18014200000002
5	9.233376999999999	76.15267800000002
6	9.295390999999999	77.42546900000002
7	9.339775999999999	78.43267100000003
8	9.386511999999998	79.36355600000003
9	9.426431999999998	80.21306900000003
10	9.462021999999997	81.27901200000004
